,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,20701230,"APR 16, 2008",SEA @ GSW,42,6,1,13,5,1,2,2
1,20701202,"APR 13, 2008",SEA vs. DAL,19,3,1,5,1,0,1,2
2,20701185,"APR 11, 2008",SEA @ SAS,20,3,0,6,0,0,0,1
3,20701171,"APR 09, 2008",SEA @ HOU,26,4,4,3,2,1,1,0
4,20701160,"APR 08, 2008",SEA @ DAL,16,3,0,6,0,0,1,1
5,20701151,"APR 06, 2008",SEA vs. DEN,37,9,3,8,5,2,4,0
6,20701136,"APR 04, 2008",SEA vs. HOU,4,4,0,5,3,0,1,0
7,20701121,"APR 02, 2008",SEA vs. LAC,30,1,0,5,5,0,1,1
8,20701097,"MAR 30, 2008",SEA vs. SAC,25,2,1,2,1,1,2,0
9,20701083,"MAR 28, 2008",SEA vs. CHA,18,1,0,5,2,0,4,2
10,20701068,"MAR 26, 2008",SEA vs. WAS,32,1,1,7,2,1,2,0
11,20701050,"MAR 24, 2008",SEA vs. POR,23,3,0,9,1,1,2,1
12,20701037,"MAR 22, 2008",SEA @ UTA,23,2,1,3,3,0,1,1
13,20701027,"MAR 21, 2008",SEA @ LAL,20,3,2,4,2,0,0,0
14,20701014,"MAR 19, 2008",SEA vs. PHX,16,1,1,1,5,1,1,0
15,20700989,"MAR 16, 2008",SEA @ DEN,23,0,0,3,2,0,0,0
16,20700975,"MAR 14, 2008",SEA vs. MIN,24,4,0,4,5,0,1,0
17,20700954,"MAR 12, 2008",SEA @ BOS,16,1,0,3,4,0,1,3
18,20700947,"MAR 11, 2008",SEA @ IND,27,0,1,2,1,1,1,1
19,20700934,"MAR 09, 2008",SEA @ TOR,20,3,1,6,5,0,1,0
20,20700913,"MAR 07, 2008",SEA @ PHI,14,2,0,3,6,0,0,1
21,20700902,"MAR 05, 2008",SEA @ MIL,23,2,3,3,1,0,1,0
22,20700891,"MAR 04, 2008",SEA @ DET,20,5,1,7,3,0,1,1
23,20700882,"MAR 02, 2008",SEA @ MIN,25,2,1,4,7,0,0,1
24,20700869,"FEB 29, 2008",SEA vs. MIA,24,4,0,2,4,0,1,0
25,20700853,"FEB 27, 2008",SEA vs. DEN,16,2,3,6,3,0,0,0
26,20700844,"FEB 26, 2008",SEA @ GSW,21,7,1,4,5,0,2,3
27,20700830,"FEB 24, 2008",SEA vs. LAL,15,1,2,4,4,0,1,1
28,20700815,"FEB 22, 2008",SEA vs. POR,17,0,1,4,2,0,0,0
29,20700802,"FEB 21, 2008",SEA @ POR,20,2,1,6,4,2,2,0
30,20700776,"FEB 13, 2008",SEA vs. UTA,19,0,2,3,3,0,3,0
31,20700734,"FEB 08, 2008",SEA @ PHX,9,3,0,1,2,0,0,2
32,20700721,"FEB 06, 2008",SEA @ SAC,17,5,1,3,1,1,2,0
33,20700706,"FEB 04, 2008",SEA vs. CHI,20,3,3,4,0,0,0,1
34,20700695,"FEB 02, 2008",SEA vs. NYK,21,1,2,7,1,1,1,2
35,20700677,"JAN 31, 2008",SEA vs. CLE,24,4,2,3,5,0,0,2
36,20700663,"JAN 29, 2008",SEA vs. SAS,26,5,1,7,1,1,4,1
37,20700651,"JAN 27, 2008",SEA vs. SAC,19,5,3,4,5,0,2,0
38,20700637,"JAN 25, 2008",SEA vs. ATL,17,0,2,2,4,0,4,0
39,20700620,"JAN 23, 2008",SEA vs. HOU,25,1,0,3,0,0,2,2
40,20700600,"JAN 21, 2008",SEA @ HOU,12,2,0,4,4,1,4,1
41,20700591,"JAN 19, 2008",SEA @ DAL,6,0,0,2,1,0,1,0
42,20700578,"JAN 18, 2008",SEA @ MEM,22,0,0,3,3,2,4,0
43,20700569,"JAN 16, 2008",SEA @ NOH,20,6,1,7,4,1,2,0
44,20700553,"JAN 14, 2008",SEA vs. LAL,19,1,1,1,0,2,6,2
45,20700533,"JAN 11, 2008",SEA vs. DAL,15,6,0,3,2,0,3,1
46,20700512,"JAN 09, 2008",SEA @ NJN,15,1,1,2,3,0,4,2
47,20700503,"JAN 08, 2008",SEA @ CLE,24,1,0,6,4,1,3,1
48,20700491,"JAN 06, 2008",SEA @ WAS,19,3,0,6,2,0,4,0
49,20700471,"JAN 03, 2008",SEA @ PHX,28,1,0,7,2,1,3,1
50,20700442,"DEC 29, 2007",SEA vs. MIN,6,2,1,0,0,0,1,1
51,20700421,"DEC 27, 2007",SEA vs. BOS,25,2,1,5,3,1,4,1
52,20700407,"DEC 25, 2007",SEA @ POR,23,4,0,6,1,1,4,2
53,20700390,"DEC 21, 2007",SEA vs. TOR,27,3,1,2,5,4,5,1
54,20700377,"DEC 19, 2007",SEA vs. NOH,18,5,0,4,0,0,2,0
55,20700349,"DEC 15, 2007",SEA @ UTA,6,1,2,3,0,0,1,1
56,20700334,"DEC 14, 2007",SEA @ MIN,13,0,2,5,8,1,5,1
57,20700319,"DEC 12, 2007",SEA @ NYK,30,4,2,5,3,1,5,0
58,20700311,"DEC 11, 2007",SEA @ CHI,16,2,0,1,3,1,2,0
59,20700299,"DEC 09, 2007",SEA @ NOH,23,2,1,4,2,2,4,2
60,20700286,"DEC 07, 2007",SEA vs. MIL,35,1,0,8,3,2,6,5
61,20700272,"DEC 05, 2007",SEA vs. LAC,16,1,0,7,3,1,2,2
62,20700248,"DEC 02, 2007",SEA vs. GSW,6,0,0,3,3,0,0,1
63,20700234,"NOV 30, 2007",SEA vs. IND,35,2,2,5,7,3,5,3
64,20700220,"NOV 28, 2007",SEA vs. ORL,22,4,0,6,2,0,3,1
65,20700210,"NOV 27, 2007",SEA @ LAL,25,3,1,2,2,1,2,2
66,20700195,"NOV 25, 2007",SEA vs. SAS,25,4,0,6,3,1,3,0
67,20700181,"NOV 23, 2007",SEA vs. NJN,12,2,0,5,1,1,4,1
68,20700146,"NOV 19, 2007",SEA @ MEM,11,2,0,2,5,0,0,0
69,20700132,"NOV 17, 2007",SEA @ CHA,16,1,1,1,3,0,2,1
70,20700123,"NOV 16, 2007",SEA @ ATL,21,2,3,3,4,1,5,3
71,20700109,"NOV 14, 2007",SEA @ MIA,18,1,1,5,5,3,6,0
72,20700097,"NOV 13, 2007",SEA @ ORL,10,0,2,1,4,0,3,2
73,20700091,"NOV 11, 2007",SEA vs. DET,19,2,1,6,2,1,4,1
74,20700078,"NOV 09, 2007",SEA vs. UTA,20,1,3,5,3,1,8,1
75,20700061,"NOV 07, 2007",SEA vs. MEM,17,1,1,2,2,1,4,0
76,20700051,"NOV 06, 2007",SEA @ SAC,27,4,1,7,6,3,9,0
77,20700036,"NOV 04, 2007",SEA @ LAC,24,5,0,8,1,3,6,1
78,20700014,"NOV 01, 2007",SEA vs. PHX,27,1,0,5,6,2,6,1
79,20700011,"OCT 31, 2007",SEA @ DEN,18,1,3,5,2,2,7,1
80,20801228,"APR 15, 2009",OKC @ LAC,26,3,4,9,1,2,3,0
81,20801212,"APR 13, 2009",OKC @ POR,10,0,0,2,1,0,2,1
82,20801193,"APR 11, 2009",OKC @ MIL,19,2,3,5,4,3,4,0
83,20801182,"APR 10, 2009",OKC vs. CHA,20,1,3,10,4,1,6,2
84,20801170,"APR 08, 2009",OKC @ DEN,31,0,0,7,1,2,6,1
85,20801157,"APR 07, 2009",OKC vs. SAS,24,6,1,7,2,1,3,0
86,20801149,"APR 05, 2009",OKC vs. IND,25,2,1,6,3,1,1,1
87,20801129,"APR 03, 2009",OKC vs. POR,13,3,0,5,4,0,1,0
88,20801109,"MAR 31, 2009",OKC @ SAS,31,2,1,8,2,1,2,0
89,20801096,"MAR 29, 2009",OKC @ BOS,21,2,1,2,3,1,2,0
90,20801075,"MAR 27, 2009",OKC @ TOR,18,3,3,4,4,1,3,1
91,20801056,"MAR 24, 2009",OKC vs. LAL,24,4,1,6,1,0,6,1
92,20801043,"MAR 22, 2009",OKC @ MIN,30,5,2,8,1,1,2,0
93,20801029,"MAR 20, 2009",OKC vs. UTA,24,5,1,12,5,0,0,1
94,20801016,"MAR 18, 2009",OKC vs. CHI,28,0,1,6,3,2,4,1
95,20800999,"MAR 16, 2009",OKC vs. SAS,25,2,2,3,2,2,2,0
96,20800984,"MAR 14, 2009",OKC @ PHX,22,2,1,6,3,1,4,1
97,20800870,"FEB 27, 2009",OKC @ DAL,6,0,0,2,0,0,0,0
98,20800846,"FEB 24, 2009",OKC vs. LAL,32,6,3,10,6,2,4,0
99,20800826,"FEB 21, 2009",OKC @ GSW,32,3,2,6,5,0,3,0
100,20800819,"FEB 20, 2009",OKC @ PHX,35,5,2,8,5,3,5,0
101,20800793,"FEB 17, 2009",OKC vs. NOH,47,2,0,3,2,4,6,0
102,20800783,"FEB 11, 2009",OKC @ POR,20,4,4,7,3,0,1,1
103,20800772,"FEB 10, 2009",OKC @ LAL,31,4,4,10,5,1,2,1
104,20800757,"FEB 08, 2009",OKC vs. SAC,39,4,0,7,2,3,4,2
105,20800739,"FEB 06, 2009",OKC vs. POR,31,2,1,3,0,1,3,1
106,20800728,"FEB 04, 2009",OKC vs. DEN,31,7,0,8,2,3,5,0
107,20800705,"FEB 01, 2009",OKC @ SAC,33,2,0,5,3,2,4,1
108,20800689,"JAN 30, 2009",OKC @ UTA,29,4,0,10,5,0,2,0
109,20800674,"JAN 28, 2009",OKC vs. MEM,35,6,1,10,4,1,3,4
110,20800660,"JAN 26, 2009",OKC vs. NJN,18,4,0,5,2,1,2,0
111,20800639,"JAN 23, 2009",OKC @ LAC,46,4,2,15,2,2,6,1
112,20800626,"JAN 21, 2009",OKC @ GSW,27,5,3,12,3,0,2,0
113,20800600,"JAN 18, 2009",OKC vs. MIA,31,5,1,6,2,3,5,1
114,20800585,"JAN 16, 2009",OKC vs. DET,32,2,2,6,3,2,3,0
115,20800572,"JAN 14, 2009",OKC vs. UTA,21,4,2,9,6,1,2,1
116,20800555,"JAN 12, 2009",OKC @ NJN,26,2,2,9,5,2,5,0
117,20800542,"JAN 10, 2009",OKC @ CHI,28,2,4,12,6,1,3,0
118,20800533,"JAN 09, 2009",OKC vs. HOU,27,5,1,6,7,1,3,0
119,20800520,"JAN 07, 2009",OKC @ MIN,9,1,0,2,2,0,2,0
120,20800510,"JAN 06, 2009",OKC vs. NYK,27,3,0,12,4,1,5,0
121,20800482,"JAN 02, 2009",OKC vs. DEN,33,5,1,9,2,4,5,1
122,20800471,"DEC 31, 2008",OKC vs. GSW,25,6,0,10,4,1,2,2
123,20800454,"DEC 29, 2008",OKC vs. PHX,18,4,1,8,2,0,5,0
124,20800438,"DEC 27, 2008",OKC @ WAS,25,3,3,11,3,1,4,3
125,20800429,"DEC 26, 2008",OKC @ DET,26,4,0,8,1,1,6,1
126,20800409,"DEC 23, 2008",OKC @ ATL,28,4,1,6,3,2,3,0
127,20800402,"DEC 21, 2008",OKC vs. CLE,26,1,2,5,4,2,3,0
128,20800386,"DEC 19, 2008",OKC vs. TOR,26,2,3,8,3,2,7,1
129,20800362,"DEC 16, 2008",OKC vs. LAC,25,3,2,5,1,1,2,0
130,20800349,"DEC 14, 2008",OKC @ SAS,28,3,0,13,1,1,4,4
131,20800341,"DEC 13, 2008",OKC @ DAL,22,0,5,8,2,1,2,0
132,20800317,"DEC 10, 2008",OKC vs. MEM,28,3,1,5,6,2,4,2
133,20800303,"DEC 08, 2008",OKC vs. GSW,41,4,1,10,4,6,10,3
134,20800288,"DEC 06, 2008",OKC @ MIA,18,1,1,5,3,2,4,1
135,20800276,"DEC 05, 2008",OKC @ ORL,16,3,1,10,2,1,2,1
136,20800264,"DEC 03, 2008",OKC @ CHA,24,2,2,3,3,3,4,1
137,20800240,"NOV 29, 2008",OKC @ MEM,30,2,1,7,3,0,2,2
138,20800230,"NOV 28, 2008",OKC vs. MIN,22,3,0,4,1,3,6,1
139,20800211,"NOV 26, 2008",OKC @ CLE,13,1,0,1,2,0,1,0
140,20800207,"NOV 25, 2008",OKC vs. PHX,29,1,1,4,0,3,4,1
141,20800191,"NOV 22, 2008",OKC @ NOH,30,0,0,4,5,1,3,0
142,20800180,"NOV 21, 2008",OKC vs. NOH,17,0,0,2,3,1,1,0
143,20800165,"NOV 19, 2008",OKC vs. LAC,18,1,0,3,5,2,3,0
144,20800146,"NOV 17, 2008",OKC vs. HOU,29,4,4,7,4,1,2,0
145,20800134,"NOV 15, 2008",OKC @ PHI,13,1,0,3,5,0,0,0
146,20800124,"NOV 14, 2008",OKC @ NYK,23,2,1,2,2,0,1,1
147,20800093,"NOV 10, 2008",OKC @ IND,37,2,0,8,4,2,3,3
148,20800089,"NOV 09, 2008",OKC vs. ATL,20,3,0,4,6,0,0,0
149,20800074,"NOV 07, 2008",OKC @ UTA,24,3,1,5,2,1,2,0
150,20800059,"NOV 05, 2008",OKC vs. BOS,17,2,1,2,3,0,1,1
151,20800041,"NOV 02, 2008",OKC vs. MIN,18,0,0,5,1,0,0,1
152,20800035,"NOV 01, 2008",OKC @ HOU,26,2,4,5,3,0,0,0
153,20800010,"OCT 29, 2008",OKC vs. MIL,12,2,0,3,4,0,3,0
154,20901224,"APR 14, 2010",OKC vs. MEM,31,4,2,7,4,2,3,3
155,20901210,"APR 12, 2010",OKC @ POR,30,4,0,5,3,4,8,0
156,20901200,"APR 11, 2010",OKC @ GSW,40,5,2,10,2,3,8,2
157,20901183,"APR 09, 2010",OKC vs. PHX,35,2,3,9,0,1,3,0
158,20901165,"APR 07, 2010",OKC vs. DEN,33,4,1,11,3,1,5,3
159,20901156,"APR 06, 2010",OKC @ UTA,45,4,2,7,3,7,13,2
160,20901147,"APR 04, 2010",OKC vs. MIN,40,2,1,9,2,2,4,2
161,20901137,"APR 03, 2010",OKC @ DAL,23,5,5,5,5,0,3,1
162,20901111,"MAR 31, 2010",OKC @ BOS,37,2,1,8,2,2,5,0
163,20901103,"MAR 30, 2010",OKC @ PHI,26,2,3,10,4,2,4,2
164,20901094,"MAR 28, 2010",OKC vs. POR,29,1,1,13,5,2,5,3
165,20901078,"MAR 26, 2010",OKC vs. LAL,26,3,0,8,3,1,7,0
166,20901065,"MAR 24, 2010",OKC vs. HOU,25,3,1,4,1,1,4,2
167,20901049,"MAR 22, 2010",OKC vs. SAS,45,1,0,8,3,1,4,3
168,20901037,"MAR 21, 2010",OKC @ IND,16,3,2,5,5,1,6,1
169,20901019,"MAR 19, 2010",OKC @ TOR,31,3,0,6,0,0,4,0
170,20901005,"MAR 17, 2010",OKC @ CHA,26,1,1,10,0,0,7,0
171,20900987,"MAR 14, 2010",OKC vs. UTA,35,3,1,3,2,2,6,0
172,20900972,"MAR 12, 2010",OKC vs. NJN,32,2,1,12,2,2,5,0
173,20900958,"MAR 10, 2010",OKC vs. NOH,29,2,0,4,2,2,3,1
174,20900938,"MAR 07, 2010",OKC @ SAC,27,5,1,8,3,1,3,1
175,20900924,"MAR 05, 2010",OKC @ LAC,32,2,2,9,1,0,2,2
176,20900908,"MAR 03, 2010",OKC @ DEN,19,0,0,4,4,2,6,3
177,20900897,"MAR 02, 2010",OKC vs. SAC,39,2,1,10,3,1,4,0
178,20900882,"FEB 28, 2010",OKC vs. TOR,29,1,1,6,2,2,3,1
179,20900865,"FEB 26, 2010",OKC vs. MIN,25,3,2,9,1,1,3,1
180,20900851,"FEB 24, 2010",OKC @ SAS,21,3,2,12,2,1,5,2
181,20900842,"FEB 23, 2010",OKC vs. PHX,36,3,2,8,2,3,5,0
182,20900827,"FEB 21, 2010",OKC @ MIN,32,2,1,6,3,2,3,2
183,20900817,"FEB 20, 2010",OKC @ NYK,36,3,1,5,5,2,6,1
184,20900786,"FEB 16, 2010",OKC vs. DAL,25,2,0,14,1,2,7,3
185,20900767,"FEB 09, 2010",OKC @ POR,33,1,2,11,2,2,3,0
186,20900751,"FEB 06, 2010",OKC @ GSW,29,4,4,8,4,2,4,1
187,20900723,"FEB 03, 2010",OKC @ NOH,30,2,0,3,8,2,4,1
188,20900716,"FEB 02, 2010",OKC vs. ATL,33,3,2,11,2,1,3,1
189,20900703,"JAN 31, 2010",OKC vs. GSW,45,2,2,11,4,2,3,0
190,20900684,"JAN 29, 2010",OKC vs. DEN,30,4,1,4,2,1,2,1
191,20900669,"JAN 27, 2010",OKC vs. CHI,28,5,2,11,4,2,5,3
192,20900638,"JAN 23, 2010",OKC @ CLE,34,3,2,10,1,2,3,0
193,20900630,"JAN 22, 2010",OKC @ MEM,30,0,1,8,3,0,3,1
194,20900615,"JAN 20, 2010",OKC @ MIN,31,3,2,10,4,2,3,0
195,20900596,"JAN 18, 2010",OKC @ ATL,29,5,0,5,1,1,1,1
196,20900589,"JAN 16, 2010",OKC vs. MIA,36,3,0,10,3,3,3,0
197,20900579,"JAN 15, 2010",OKC @ DAL,30,0,1,13,8,4,5,0
198,20900563,"JAN 13, 2010",OKC vs. SAS,35,3,0,5,7,1,2,1
199,20900548,"JAN 11, 2010",OKC vs. NYK,30,3,1,5,2,1,3,2
200,20900534,"JAN 09, 2010",OKC vs. IND,40,3,1,12,2,2,2,0
201,20900512,"JAN 06, 2010",OKC vs. NOH,27,3,1,5,4,1,4,0
202,20900495,"JAN 04, 2010",OKC @ CHI,25,3,1,8,6,2,4,0
