,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21701001,"MAR 12, 2018",SAS @ HOU,14,1,0,4,0,4,5,1
1,21700852,"FEB 13, 2018",SAS @ DEN,2,0,0,0,0,0,0,0
2,21700831,"FEB 10, 2018",SAS @ GSW,11,2,1,7,0,0,2,0
3,21700810,"FEB 07, 2018",SAS @ PHX,10,1,0,0,1,3,3,0
4,21700686,"JAN 21, 2018",SAS vs. IND,0,0,0,0,0,0,0,0
5,21700633,"JAN 13, 2018",SAS vs. DEN,0,0,0,1,1,0,1,0
6,21700617,"JAN 11, 2018",SAS @ LAL,4,0,0,0,0,1,1,0
7,21700596,"JAN 08, 2018",SAS @ SAC,0,1,0,1,0,0,0,0
8,21700573,"JAN 05, 2018",SAS vs. PHX,0,0,0,2,1,0,0,0
9,21700555,"JAN 03, 2018",SAS @ PHI,4,1,0,2,0,0,1,0
10,21700435,"DEC 16, 2017",SAS vs. DAL,0,0,0,0,0,0,0,0
11,21700383,"DEC 09, 2017",SAS @ PHX,4,0,0,1,2,0,0,0
12,21700337,"DEC 03, 2017",SAS @ OKC,4,1,2,2,1,0,0,1
13,21700117,"NOV 02, 2017",SAS vs. GSW,0,0,0,1,0,0,0,0
14,21700092,"OCT 30, 2017",SAS @ BOS,0,0,1,2,0,0,0,1
15,21700071,"OCT 27, 2017",SAS @ ORL,1,2,0,3,0,0,0,0
16,21700011,"OCT 18, 2017",SAS vs. MIN,0,0,0,0,0,0,0,0
17,21801227,"APR 10, 2019",SAS vs. DAL,14,3,1,6,0,2,2,0
