,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021401217,"APR 15, 2015",CHI vs. ATL,21,3,2,6,0,2,2,1
1,0021401206,"APR 13, 2015",CHI @ BKN,17,2,1,6,1,2,3,1
2,0021401189,"APR 11, 2015",CHI vs. PHI,15,3,2,6,0,1,2,0
3,0021401161,"APR 08, 2015",CHI @ ORL,19,6,2,5,2,3,4,0
4,0021401148,"APR 05, 2015",CHI @ CLE,16,5,3,4,2,2,3,0
5,0021401131,"APR 03, 2015",CHI vs. DET,18,3,1,2,2,1,2,0
6,0021401118,"APR 01, 2015",CHI @ MIL,25,3,3,7,2,1,4,1
7,0021401088,"MAR 28, 2015",CHI vs. NYK,18,4,5,3,0,0,0,1
8,0021401065,"MAR 25, 2015",CHI @ TOR,23,3,0,5,1,2,3,0
9,0021401051,"MAR 23, 2015",CHI vs. CHA,19,1,0,9,1,0,2,0
10,0021400877,"MAR 01, 2015",CHI vs. LAC,10,2,0,2,1,2,4,0
11,0021400862,"FEB 27, 2015",CHI vs. MIN,28,1,2,12,1,0,1,2
12,0021400845,"FEB 25, 2015",CHI vs. CHA,14,5,2,7,3,0,3,0
13,0021400831,"FEB 23, 2015",CHI vs. MIL,11,4,0,9,3,1,2,2
14,0021400818,"FEB 21, 2015",CHI vs. PHX,19,3,1,5,3,1,1,0
15,0021400806,"FEB 20, 2015",CHI @ DET,30,5,0,5,2,3,5,0
16,0021400785,"FEB 10, 2015",CHI vs. SAC,5,2,0,2,0,0,1,0
17,0021400770,"FEB 08, 2015",CHI @ ORL,27,5,6,2,3,3,4,0
18,0021400758,"FEB 07, 2015",CHI @ NOP,18,5,1,4,1,0,2,0
19,0021400735,"FEB 04, 2015",CHI @ HOU,27,1,2,6,0,3,5,0
20,0021400704,"JAN 30, 2015",CHI @ PHX,22,4,2,7,2,1,6,0
21,0021400695,"JAN 29, 2015",CHI @ LAL,35,1,3,7,1,1,5,0
22,0021400657,"JAN 25, 2015",CHI vs. MIA,5,2,1,5,0,0,2,0
23,0021400646,"JAN 23, 2015",CHI @ DAL,20,6,3,8,2,0,2,0
24,0021400637,"JAN 22, 2015",CHI vs. SAS,17,2,1,4,1,2,2,1
25,0021400620,"JAN 19, 2015",CHI @ CLE,20,3,1,7,0,1,3,1
26,0021400602,"JAN 17, 2015",CHI vs. ATL,15,3,1,5,1,1,3,0
27,0021400591,"JAN 16, 2015",CHI @ BOS,22,2,6,5,1,0,2,0
28,0021400579,"JAN 14, 2015",CHI vs. WAS,13,2,4,2,0,2,4,1
29,0021400566,"JAN 12, 2015",CHI vs. ORL,17,2,0,2,1,3,6,0
30,0021400554,"JAN 10, 2015",CHI vs. MIL,9,10,2,8,2,0,3,1
31,0021400543,"JAN 09, 2015",CHI @ WAS,10,2,3,4,4,1,5,1
32,0021400528,"JAN 07, 2015",CHI vs. UTA,16,3,2,11,2,2,4,0
33,0021400512,"JAN 05, 2015",CHI vs. HOU,22,1,3,5,1,2,4,1
34,0021400482,"JAN 01, 2015",CHI vs. DEN,26,8,2,8,3,1,2,1
35,0021400467,"DEC 30, 2014",CHI vs. BKN,8,1,1,3,3,0,3,2
36,0021400460,"DEC 29, 2014",CHI @ IND,27,1,4,9,1,2,2,1
37,0021400447,"DEC 27, 2014",CHI vs. NOP,33,2,2,5,0,0,3,1
38,0021400430,"DEC 25, 2014",CHI vs. LAL,21,5,0,6,1,1,3,2
39,0021400419,"DEC 23, 2014",CHI @ WAS,11,2,0,6,0,1,4,0
40,0021400410,"DEC 22, 2014",CHI vs. TOR,27,4,1,11,1,2,3,5
41,0021400389,"DEC 19, 2014",CHI @ MEM,31,1,2,10,0,0,2,0
42,0021400379,"DEC 18, 2014",CHI vs. NYK,35,7,4,5,2,4,7,1
43,0021400358,"DEC 15, 2014",CHI @ ATL,22,2,2,9,2,3,5,0
44,0021400349,"DEC 14, 2014",CHI @ MIA,17,5,2,7,2,0,1,1
45,0021400328,"DEC 12, 2014",CHI vs. POR,11,1,1,8,0,0,1,2
46,0021400320,"DEC 10, 2014",CHI vs. BKN,18,2,1,5,1,0,1,0
47,0021400289,"DEC 06, 2014",CHI vs. GSW,24,3,2,4,3,3,6,0
48,0021400263,"DEC 03, 2014",CHI @ CHA,15,5,2,2,1,1,4,0
49,0021400257,"DEC 02, 2014",CHI vs. DAL,23,7,0,8,1,0,3,0
50,0021400242,"NOV 30, 2014",CHI @ BKN,26,5,1,4,0,1,3,0
51,0021400223,"NOV 28, 2014",CHI @ BOS,22,1,1,3,3,0,3,0
52,0021400209,"NOV 25, 2014",CHI @ DEN,32,1,1,9,2,0,1,0
53,0021400204,"NOV 24, 2014",CHI @ UTA,25,2,4,2,3,1,2,0
54,0021400183,"NOV 21, 2014",CHI @ POR,9,2,1,4,0,0,2,0
55,0021400171,"NOV 20, 2014",CHI @ SAC,23,1,2,8,3,0,1,0
56,0021400154,"NOV 17, 2014",CHI @ LAC,22,8,2,6,3,1,4,0
57,0021400135,"NOV 15, 2014",CHI vs. IND,32,1,2,6,1,1,2,1
58,0021400119,"NOV 13, 2014",CHI @ TOR,21,6,0,9,1,1,3,1
59,0021400101,"NOV 10, 2014",CHI vs. DET,19,1,0,4,1,4,7,0
60,0021400086,"NOV 08, 2014",CHI vs. BOS,16,2,2,5,0,1,3,0
61,0021400073,"NOV 07, 2014",CHI @ PHI,23,5,1,7,1,1,3,1
62,0021400062,"NOV 05, 2014",CHI @ MIL,14,7,4,6,4,0,0,0
63,0021400053,"NOV 04, 2014",CHI vs. ORL,21,3,1,9,2,0,2,2
64,0021400035,"NOV 01, 2014",CHI @ MIN,24,2,1,4,2,1,3,1
